cod_ibge,nome,variavel,populacao_estimada,integrado_snt,p_value,tau
3509809,Campos Novos Paulista,Óbitos totais,4991,Não,0.9725896714991455,0.0028606881557643317
3509908,Cananéia,Óbitos totais,12489,Sim,0.6824485313396895,-0.03050109143297529
3509957,Canas,Óbitos totais,5049,Não,0.6163227377727911,-0.03734538671775777
3510005,Cândido Mota,Óbitos totais,30172,Sim,0.9278057903387125,-0.006848465792298602
3510104,Cândido Rodrigues,Óbitos totais,2951,Não,0.4946664915899571,-0.05143309170376111
3510153,Canitar,Óbitos totais,6524,Não,0.3888904770042479,-0.06435076749689499
3510203,Capão Bonito,Óbitos totais,47403,Sim,0.3261550548530291,0.06799605219977185
3510302,Capela do Alto,Óbitos totais,23597,Sim,0.47848934685750816,-0.051790605282134
3510401,Capivari,Óbitos totais,51318,Sim,0.3707854568556149,-0.06326564084147818
3510500,Caraguatatuba,Óbitos totais,141084,Sim,0.20019851162204627,0.08738568547858314
3510609,Carapicuíba,Óbitos totais,398462,Sim,0.7370544850979948,0.02231449145496603
3510708,Cardoso,Óbitos totais,11491,Não,0.7090660529627626,0.027635747329139017
3510807,Casa Branca,Óbitos totais,28786,Sim,0.8650800177126438,-0.01213653628347014
3510906,Cássia dos Coqueiros,Óbitos totais,2855,Não,0.41588514851941716,0.06111786646526066
3511003,Castilho,Óbitos totais,20418,Não,0.569908154897114,0.04158174897346003
3511102,Catanduva,Óbitos totais,119172,Sim,0.014140158462631492,-0.16396093048380217
3511201,Catiguá,Óbitos totais,7105,Não,0.006575353672848055,-0.20063789202497942
3511300,Cedral,Óbitos totais,13160,Não,0.6519371310545673,-0.033461975709991466
3511409,Cerqueira César,Óbitos totais,22076,Sim,0.12775328883938758,-0.11287693388095371
3511508,Cerquilho,Óbitos totais,46217,Sim,0.6790444783845448,-0.029874300626237877
3511607,Cesário Lange,Óbitos totais,19588,Sim,0.8691668842306721,-0.012156034360538737
3511706,Charqueada,Óbitos totais,15798,Sim,0.028969751002848536,0.16180206947505096
3511904,Clementina,Óbitos totais,7087,Não,0.7248583506796635,-0.026169747767357806
3512001,Colina,Óbitos totais,18842,Sim,0.7263975361791855,-0.025725445850711418
3512100,Colômbia,Óbitos totais,6781,Não,0.03971415503998368,-0.15206061774234667
3512209,Conchal,Óbitos totais,29034,Sim,0.017166981947549655,0.17309722036931482
3512308,Conchas,Óbitos totais,15381,Sim,0.11086796240424887,-0.11739822971302141
3512407,Cordeirópolis,Óbitos totais,25130,Sim,0.07616943087881675,0.12796811683452444
3512506,Coroados,Óbitos totais,5498,Não,0.17210821285673505,-0.10116942520012732
3512605,Coronel Macedo,Óbitos totais,4295,Não,0.5417516678806846,-0.04560357675111774
3512704,Corumbataí,Óbitos totais,4285,Não,0.3894538173209585,0.06414668891257752
3512803,Cosmópolis,Óbitos totais,61204,Sim,0.6163732157938813,0.035815388326834244
3512902,Cosmorama,Óbitos totais,8968,Sim,0.9523560471315952,-0.004634623751598156
3513009,Cotia,Óbitos totais,287004,Sim,0.006784866525589537,0.17971988504669653
3513108,Cravinhos,Óbitos totais,34252,Sim,0.9327960469411533,0.006408077103062737
3513207,Cristais Paulista,Óbitos totais,9543,Sim,0.8768325352002225,0.011709587042328563
3513306,Cruzália,Óbitos totais,2129,Não,0.9369851665189175,0.006402066294472761
3513405,Cruzeiro,Óbitos totais,76513,Sim,0.14130980192707485,-0.10385163415247543
3513504,Cubatão,Óbitos totais,115082,Sim,0.8405282871686903,-0.01347927201175225
3513603,Cunha,Óbitos totais,22456,Sim,0.9213942993407348,-0.007313144309286319
3513702,Descalvado,Óbitos totais,32622,Não,0.8627634775203868,0.012653424908943039
3513801,Diadema,Óbitos totais,404118,Sim,0.5605149152675915,-0.0382742122243335
3513850,Dirce Reis,Óbitos totais,1641,Não,0.33903795745584797,0.07179202383649988
3513900,Divinolândia,Óbitos totais,11314,Não,0.45581639035769755,0.05479779450998375
3514007,Dobrada,Óbitos totais,8958,Sim,0.5422155313419262,-0.04513251361845731
3514106,Dois Córregos,Óbitos totais,24855,Sim,0.4080397983041273,0.0607831510534735
3514205,Dolcinópolis,Óbitos totais,2250,Não,0.6292953413654911,-0.037035461137614537
3514304,Dourado,Óbitos totais,8186,Sim,0.6294482414039653,-0.03616095310735629
3514403,Dracena,Óbitos totais,46664,Sim,0.32186077441385297,0.0714743604076375
3514502,Duartina,Óbitos totais,12529,Não,0.02008563426811395,-0.17173740798183987
3514601,Dumont,Óbitos totais,9719,Não,0.1527659529311671,-0.10640803690204034
3514700,Echaporã,Óbitos totais,6295,Não,0.5348027175793604,-0.045949404681582484
3514809,Eldorado,Óbitos totais,13162,Sim,0.8363509030043099,0.01547970481721017
